,name,name_cat
715,Food King Chinese Restaurant,464
716,New Shama Restaurant,1027
717,Portofino Ristorante,1179
718,Feng's Garden,447
719,Simply Thai Restaurant,1310
720,La Vigna Restaurant,794
721,Alberto Restaurant,43
722,Manny's Restaurant,883
723,Emerald Restaurant,418
724,King David Kosher,721
725,Hong Kong Chinese Restaurant,614
726,Pongal Kosher South Indian Vegetarian Restaurant,1174
727,Haandi,574
728,Stella Del Mare Restaurant,1336
729,Peking Park Restaurant,1131
730,Riverpark,1236
731,ANH Vietnamese Restaurant,26
732,Il Forno Pizza and Pasta Restaurant,642
733,Rose Restaurant,1246
734,Star Light Grill Restaurant,1335
735,King's Taste Of Astoria,733
736,King Taco Mexican Restaurant & Pizzeria,729
737,El Anzuelo Fino - Restaurant,352
738,Sal's Bar Restaurant & Pizzeria,1268
739,Sunshine Restaurant & Grill,1347
740,New Wing Lee Restaurant,1035
741,La Puntilla Bar & Restaurant,789
742,La Ruana Paisa Colombian Restaurant,790
743,Sum Fung,1342
744,El Coqui Restaurant,365
745,Tikka Masala Restaurant,1414
746,El Dorado,368
747,Jenny's Restaurant,675
748,Hung Yang,629
749,Tu Casa Restaurant,1440
750,Mehak Mughlai Cuisine,906
751,Monte Bar & Restaurant,952
752,Tulcingo Restaurant,1444
753,Mijana Hookah Lounge & Restaurant,927
754,Yo Sushi,1499
755,Al Diwan,39
756,Tasty King,1380
757,Christina's Polish Restaurant,262
758,Chinese Musician Restaurant,256
759,Green Leaf Chinese Restaurant,561
760,Karczma,710
761,Acapulco Restaurant,27
762,Ott,1092
763,CinaMoon Restaurant,267
764,Fortune Cookies Chinese Restaurant,468
765,El Portal Restaurant,391
766,Rincon Latino Restaurant.,1233
767,The Copper Kettle Bar & Restaurant,1395
768,Rudys Deli,1255
769,Brooks 1890,173
770,Tito Rad's Grill & Restaurant,1418
771,I Am Thai Restaurant,630
772,Roc A Tone Restaurant,1238
773,Golden China,529
774,Carlos' Pizzaria & Restaurant,210
775,NO.1 H Chinese Restaurant,972
776,Ocha Japanese Restaurant,1071
777,Guadalupana Deli Restaurant,567
778,El Anzuelo Fino,351
779,El Buen Sabor Quisqueyano Restaurant,356
780,Real Madrid Restaurant,1213
781,Good Friend Chinese Restaurant,543
782,Peking Garden Restaurant,1129
783,El Tina Restaurant,405
784,New Home Sing,1011
785,Ajanta Indian Restaurant,35
786,Mill Korean Restaurant,931
787,Community Food & Juice,279
788,Symposium,1355
789,Cinco de Mayo,268
790,Golden Lee Chinese Restaurant,537
791,Six Flags Chinese Restaurant,1318
792,Galli Restaurant,501
793,Puglia Restaurant,1190
794,Canal Street Seafood Restaurant,196
795,Pang Huang Restaurant Corp,1108
796,New Hon Wong Restaurant 新恒旺大飯店,1012
797,218 Restaurant,6
798,Nam Son Vietnamese Restaurant,975
799,Mooncake Foods,956
800,Bo Ky Restaurant 波記潮州小食,151
801,Deluxe Green Bo Restaurant,306
802,Tataki Japanese Restaurant,1381
803,J.J. Noodle Restaurant 好旺角,661
804,Fei Tenc Restaurant,445
805,Dragon Chinese Restaurant,324
806,Dragon Restaurant,329
807,Two Star Restaurant,1448
808,Cakor Restaurant,191
809,Nice Food Chinese Restaurant,1041
810,New Leaf Restaurant,1017
811,Kismat Indian Restaurant,734
812,Refried Beans Mexican Restaurant,1219
813,La Potencia Restaurant,788
814,Saggio Restaurant,1264
815,Yang Garden,1497
816,El Capri Restaurant,359
817,Papa Chepe Restaurant,1112
818,International Food House Restaurant & Buffet,651
819,El Floridita Restaurant,371
820,Ranchito Restaurant,1209
821,La Nueva España Restaurant,780
822,First Choice Chinese Restaurant,453
823,Tung Thong Thai Restaurant,1446
824,La Barca Restaurant,755
825,Caridad  Restaurant,207
826,F & J Pine Tavern,439
827,El Bohio Tropical Restaurant,355
828,Sing Garden Chinese Restaurant,1311
829,Empire Wok,425
830,Estrellita Poblana,431
831,Golden Jaragua,535
832,Canoa,200
833,La Orquidea Restaurant,782
834,Delicioso Restaurant,304
835,No. 1 Wok,1051
836,New Corner Restaurant,997
837,Gino's Restaurant,520
838,My 3 Sons Restaurant,966
839,Mezcal's,918
840,Tommaso's,1422
841,Eatao Sichuan Restaurant,346
842,Casa Vieja Restaurant,217
843,JT's Restaurant,663
844,Panda Garden,1102
845,UNO Pizzeria & Grill,1449
846,Fuel Energy Restaurant,491
847,Pancho's Restaurant,1101
848,My Thai Restaurant,968
849,Sofia's,1320
850,Offshore Restautant,1072
851,Waterfalls,1476
852,Friendly's Chinese Food,484
853,Nyonya,1063
854,Hahm Ji Bach - 함지박,576
855,Han Joo,580
856,Mitoushi Sushi,946
857,Lan King,799
858,Para Ti Colombia Con Sabor,1115
859,Jade Garden,666
860,Peking Kitchen,1130
861,Anthony's Place,65
862,Exquisite Delight,437
863,Bake & Things,111
864,Gandhi Fine Indian Cuisine,502
865,Hing Wong,606
866,Good Taste Chinese Food,548
867,New Peking,1021
868,Hua Long,624
869,Fulton Thai,494
870,Lucky,846
871,Roman’s,1240
872,Maison May,867
873,No. 7,1052
874,Donnett's Caribbean-american Restaurant,318
875,A Churrasqueira,21
876,La Cocina,763
877,Taj Mahal Restaurant & Party Hall,1367
878,King's Chef,731
879,Punto Rojo,1193
880,Marinez Restaurant,890
881,New Sun King Seafood Restaurant,1030
882,Luigi's,855
883,New China Kitchen,993
884,El Nuevo Yauca,386
885,Good Taste Chinese Food,548
886,Gloria's Caribbean Cuisine,527
887,Catfish,220
888,Happy Wok,588
889,Balboa,114
890,Gino's Brick Oven Pizza and Trattoria,519
891,Hong Kong Kitchen,615
892,China Moon,249
893,Applebee's Grill + Bar,72
894,Cibao,265
895,Chen's China Garden,235
896,Shen Zhou Chinese,1303
897,Randy's Restaurant,1211
898,Lee's Restaurant,819
899,La Flor del Paraiso Restaurant,769
900,El Arco Iris Restaurant,353
901,Rosa Maria Restaurant,1244
902,Jade Seneca,667
903,China Garden,243
904,No Pork Halal Kitchen,1046
905,El Viejo Yayo,409
906,BK9 Kitchen & Bar,105
907,UNO Pizzeria & Grill,1449
908,China One,250
909,El Texano Mexican Restaurnt,404
910,Chan's Village,225
911,Pollo Sabroso,1167
912,Restaurant Above,1223
913,Oyishi Japanese Restaurant,1093
914,At Nine Restaurant & Bar,92
915,Ollie's Sichuan Restaurant,1076
916,Arriba Arriba,77
917,Wondee Siam I,1485
918,Chai Thai Kitchen,224
919,Siri Thai,1316
920,Medi Winebar,904
921,Tabata Noodle Restaurant,1359
922,Pomodoro,1172
923,Il Punto Ristorante,643
924,Esca,429
925,44 & X,12
926,Cantina Rooftop,201
927,Tout Va Bien,1428
928,Hell's Kitchen,597
929,ViceVersa,1463
930,Bann,121
931,El Deportivo Restaurante,367
932,Rooftop 48,1242
933,Wonderful Chinese Resturant,1486
934,Kabab & Curry Restaurant,702
935,Coco South East Asian,277
936,Hua Rong,625
937,Lucky Wealth,851
938,Hai Feng Seafood Restaurant,577
939,Chao Thai ร้านชาวไทย,228
940,excellent taste restaurant,1514
941,New Happy Joy,1008
942,Number 1 Chinese Food,1060
943,Tropical Jade Garden Restaurant,1437
944,Girasoles Restaurant,526
945,Bamboo Garden,117
946,China City II,239
947,Shiki Japanese Hibachi,1304
948,New Ruans,1025
949,King Rice Inc. 蓮旺,727
950,La Fusta,770
951,Thai Son,1394
952,Chung Ki-Wa,264
953,Hae Woon Dae,575
954,Maxim Chinese Restaurant,899
955,La Bahia,753
956,Red House,1218
957,Bamonte's,119
958,Da Francesco,297
959,Desy's Clam Bar,308
960,Sing Hing,1312
961,M Shanghai Bistro,862
962,Fiore,452
963,Fada,442
964,Los Primos Restaurant,838
965,Tung Hing Chinese Restaurant,1445
966,China Express,241
967,Pearl Resturant,1126
968,Nagoya Japanese Restaurant,974
969,Caruso's Italian Restaurant,214
970,Tran Gourmet Restaurant,1430
971,China 59,237
972,Atrio New York,94
973,Gigino Trattoria,516
974,The Porterhouse at Fraunces Tavern,1406
975,Morgan Williams Restaurant,957
976,New Golden Chopsticks,1003
977,Mad Dog & Beans Mexican Cantina,864
978,Tajin,1368
979,Ruchi Indian Cuisine,1254
980,Sophie's Cuban Cuisine,1325
981,Bubby's,176
982,Takahachi,1369
983,Tamarind TriBeCa,1372
984,Max,898
985,Fish Market,455
986,Jean-Georges,674
987,Nougatine at Jean Georges,1056
988,Marea,886
989,Asiate,88
990,The Smith,1410
991,Fuji Sushi,492
992,Petrossian Boutique & Cafe,1140
993,The Grand Tier,1398
994,Kumo Sushi,747
995,Gastroarte Restaurante  (fka Graffit),505
996,Joanne Trattoria,683
997,Pomodoro Rosso,1173
998,Lincoln Ristorante,826
999,Pasha,1119
1000,La Caridad 78,761
1001,Sombreros Mexican Restaurant,1323
1002,Restaurant Patrick at Club Quarters,1226
1003,Remi Restaurant,1222
1004,Taki Japanese Restaurant,1371
1005,Piano Due Restaurant,1148
1006,Tender Restaurant and Lounge,1387
1007,Minar Indian Restaurant,934
1008,Onigashima Japanese Restaurant,1083
1009,Rosen's Restaurant & Cafe,1248
1010,Windfall Restaurant,1480
1011,Appetito Restaurant,71
1012,Contorno's Restaurant,284
1013,Pascalou,1118
1014,Sfoglia,1298
1015,Ichie Japanese Restaurant,634
1016,Giovanni Venti Cinque,524
1017,Orsay,1087
1018,Caravaggio,205
1019,Amber,53
1020,Il Riccio,644
1021,Miss Saigon Vietnamese Cooking,944
1022,Antonucci,68
1023,Taste,1377
1024,Quattro Gatti Ristorante,1200
1025,Il Carino,640
1026,Daniel,300
1027,Ichiro,636
1028,Nello,983
1029,Serafina Always,1292
1030,Tony's Di Napoli,1424
1031,Sel et Poivre,1291
1032,Philippe,1142
1033,JoJo,681
1034,Agra,34
1035,August,95
1036,Opus Restaurant,1084
1037,Amura Japanese Cuisine,56
1038,Mediterraneo,905
1039,Jean Claude II,673
1040,Bottega,163
1041,Great Wall,556
1042,Olga Restaurant,1074
1043,Molino Rojo,950
1044,Picante Picante Mexican Restaurant,1149
1045,Panda Restaurant,1105
1046,La Tia,793
1047,El Malecon,376
1048,Mei Fung Chinese Take Out,907
1049,Soigne,1321
1050,Taro Sushi,1376
1051,Geido,507
1052,Sugarcane,1341
1053,Faros,443
1054,Rose Water,1247
1055,Gen,508
1056,Mezcal's Mexican Restaurant,919
1057,Lam's Garden,796
1058,Mezcal's,918
1059,Colombia In Park Slope,278
1060,Haab,573
1061,Benchmark,133
1062,Food Lin,465
1063,Empire Express Chinese,420
1064,Sotto Voce,1327
1065,Hong Kong Chinese Restaurant,614
1066,New Golden Dragon,1004
1067,China Kitchen,248
1068,Savann,1285
1069,Ecuatoriana,348
1070,El Mismo,378
1071,Donguri Restaurant,317
1072,Arturo's,79
1073,Guo's Garden,569
1074,Sunny East,1344
1075,Mumtaz,964
1076,Inase Sushi,647
1077,Canyon Road Grill,202
1078,83 1/2,16
1079,Elio's,413
1080,Maz Mezcal,903
1081,Sing Sing Kitchen,1313
1082,Kristy's Rest.,743
1083,Empire Kitchen,422
1084,Hang Lee,583
1085,Dyckman Express,334
1086,Grand Sichuan International,554
1087,biricchino,1513
1088,Chelsea Cottage,234
1089,Da Andrea Restaurant,296
1090,Elmo,415
1091,Le Singe Vert,814
1092,Hana Sushi,582
1093,Le Zie 2000 Trattoria,816
1094,Almayass Restaurant NYC,50
1095,Mesa De Espana Restaurant,912
1096,Mémé Mediterranean,971
1097,Piccolo Angolo,1150
1098,Mole Restaurante Mexicano & Tequileria,949
1099,Marumi,894
1100,Cucina Stagionale,292
1101,A.O.C. L'aile ou la Cuisse,23
1102,Fish,454
1103,Burrito Loco,180
1104,Bobo,152
1105,Miyabi Sushi & Asian Cuisine,947
1106,Lupa,858
1107,Jane,670
1108,Hello Saigon,598
1109,Pearls,1127
1110,Noche Mexicana II,1054
1111,El Rey De La Caridad,395
1112,Nice Matin,1042
1113,Swagat,1354
1114,Mary Ann's Mexican Restaurant,895
1115,New Kam Lai,1015
1116,Hunan Park,626
1117,Pio Pio Salon,1158
1118,La Nueva Victoria,781
1119,Manhattan Valley,882
1120,Regional,1220
1121,Concord Garden,281
1122,Zeytin Restaurant,1510
1123,La Cocina Restaurant,764
1124,Szechuan Garden Chinese Restaurant,1356
1125,Liberato,821
1126,Liberato,821
1127,Five Star Restaurant,457
1128,Pasquale Riggaletto's,1120
1129,El Nuevo Bohio,381
1130,Roberto's,1237
1131,Estrellita Poblana,431
1132,Baku Palace,113
1133,Fortune House,469
1134,Pedro's,1128
1135,Nanatori,976
1136,Asian City,85
1137,Queen,1202
1138,Mitoushi Sushi,946
1139,Kyoto Sushi,749
1140,Hibino,600
1141,Joya,691
1142,Tacos El Bronco,1362
1143,Cafe Colonial,188
1144,Laterna Restaurant,808
1145,Pho 32 & Shabu,1143
1146,Avli Little Greek Tavern,100
1147,Mr. Wasabi,961
1148,넌 짜장 난 짬뽕,1521
1149,Kam Luang Kitchen,708
1150,El Caribeno,360
1151,King Foo,722
1152,Fu Wing Chinese,488
1153,Hong Kong Chinese,612
1154,Las Panteras Negras,805
1155,Hermanos Ecuatorianos Restaurantes,599
1156,El Tapatio,401
1157,Busan Restaurant,181
1158,The Smith,1410
1159,Jubilee,692
1160,Il Valentino,645
1161,Go Noodle,528
1162,Rosa Mexicano,1245
1163,Murphy's Pub,965
1164,Cafe Daniello's,189
1165,Paname,1098
1166,Six Happiness,1319
1167,El Pote,393
1168,Pio Pio,1157
1169,Osteria Laguna,1091
1170,Tequilaville,1389
1171,El Rio Grande,399
1172,Rossinis,1249
1173,Pietro's,1153
1174,Sinigual Contemporary Mexican Cuisine,1315
1175,Ristorante DeGrezia,1234
1176,Hop Won,620
1177,Canaletto,197
1178,ZAVO,1507
1179,Amma,55
1180,Delizia 73 Ristorante & Pizza,305
1181,Matsu Sushi,897
1182,Two Lizards Mexican Bar & Grill,1447
1183,Petaluma,1138
1184,Nino's,1045
1185,Ko Sushi,736
1186,Uskudar,1454
1187,A La Turka,22
1188,Quatorze Bis,1199
1189,East Japanese Restaurant,341
1190,Antika Restaurant & Pizzeria,66
1191,No. 1 Kitchen,1050
1192,Lilly's Chinese Food,823
1193,Seva Indian Cuisine,1295
1194,Golden Dragon,532
1195,Sanfords,1278
1196,Zenon Taverna,1509
1197,Ignited,637
1198,Mangia,878
1199,Topaz Thai,1427
1200,Fourty Four Restaurant,472
1201,Gaby,498
1202,Lam's Garden Restaurant,797
1203,Le Midi Bar & Restaurant,813
1204,Boon-Chu Thai II,162
1205,Lido Harlem,822
1206,Szechuan Garden Kitchen,1357
1207,Bajan Bistro,110
1208,New Hong Kong Kitchen,1014
1209,El Nuevo Caridad,382
1210,King's Chef Chinese Restaurant,732
1211,Lucky Joy Restaurant,849
1212,Phở Bằng,1146
1213,Chung Hua,263
1214,Rong Restaurant,1241
1215,New Golden Szechuan Chinese Restaurant,1007
1216,Magna Restaurant,866
1217,New East Restaurant,999
1218,Koreana Restaurant,741
1219,East Harbor Seafood Palace (迎賓大酒樓),340
1220,Favor Taste,444
1221,H And V Restaurant,572
1222,New Seawide Seafood Restaurant,1026
1223,La Isla,774
1224,El Yayo Nuevo,411
1225,Park Side,1116
1226,La Brisa Del Cibao,757
1227,Tulcingo,1442
1228,El Dorado Cafe,369
1229,La Norteña,778
1230,Joy Siang,690
1231,Frontera Chicana Restaurante,485
1232,La Terraza Caribena Restaurant,792
1233,Quisqueya Restaurant,1205
1234,Giano Restaurant,515
1235,Secara Restaurant,1290
1236,Yoshi Japanese Restaurant,1502
1237,Vista Hermosa Restaurant,1468
1238,Ikura Sushi,638
1239,John's of 12th Street,687
1240,Baohaus,122
1241,Hearth,595
1242,Kumo Sushi,747
1243,La Palapa,783
1244,Mei zhong wei,909
1245,El Castillo de Jagua,362
1246,Casa Adela,215
1247,Cibao,265
1248,Hana Japanese Cuisine,581
1249,Fonda,459
1250,Supper,1351
1251,Lavagna,811
1252,Sauce Restaurant,1284
1253,Tre Restaurant & Wine Bar,1431
1254,Sticky Rice,1338
1255,Buenos Aires,179
1256,Dragon King Chinese And Japanese Restaurant,328
1257,Mexico Lindo NYC,916
1258,Profit Chinese,1186
1259,Dolcino,311
1260,Little Basil Thai Cuisine,828
1261,Jaiya,668
1262,Eros,428
1263,Bistango,145
1264,Lamarca Pasta,798
1265,Chipotle Mexican Grill,257
1266,Molly's Shebeen,951
1267,Los Toldos,839
1268,Mi Tierra Linda Restaurant,924
1269,Pio Pio,1157
1270,ming wok,1517
1271,El Coyote,366
1272,Cafe salamanca,190
1273,La Gloria,771
1274,Don Alex Restaurant,313
1275,Pollos Gus,1168
1276,Dera,307
1277,Barzola,127
1278,Cascada Restaurant & Bar,218
1279,New China III,992
1280,Panda Garden,1102
1281,Pollos a La Brasa Mario,1169
1282,Braulio's & Familia,168
1283,SriPraPhai,1332
1284,Krystal's Cafe,744
1285,Himalayan Yak,603
1286,Mr. Wonton Chinese Restaurant,963
1287,La Costa Grill Restaurant,765
1288,La Isla Restaurant,775
1289,Dragon Yuan Chinese Restaurant,331
1290,La Perla Restaurant,787
1291,Kim Hua Chinese Restaurant,717
1292,Mexico Internacional Restaurant & Bar,915
1293,El Valle,407
1294,New Shanghai,1028
1295,El Mariachi Restaurant,377
1296,Sunrise Chinese,1345
1297,Nuevo Jardin de China,1059
1298,Las Margaritas Restaurant,803
1299,Bai Sushi,109
1300,Tu Casa Restaurant,1440
1301,Sampan,1274
1302,Hillstone,602
1303,i Trulli,1515
1304,Piccolo Cafe,1151
1305,Królewskie Jadło,745
1306,La Nortena,777
1307,La Adelita Restaurant,752
1308,Oki Japanese Restaurant,1073
1309,Mangal Kebab,877
1310,King Fountain,723
1311,Mr. Wonton,962
1312,Los Pollos Limenos,837
1313,Sing loon,1314
1314,Tien Lung,1413
1315,Carnival House,213
1316,New Pops,1023
1317,Hong Kong Chinese Food,613
1318,El Paraiso,388
1319,El Jardin De China,373
1320,El Porton,392
1321,New Aroma Chinese,987
1322,Harlem's Floridita,589
1323,West Place,1478
1324,V&T Pizzeria,1457
1325,MAMO Restaurant,863
1326,Grand Bo Ky Restaurant 波記潮州小食,551
1327,Dragon Gate Chinese Restaurant,326
1328,Dun Huang Seafood Restaurant,333
1329,Hoy Wong Restaurant 喜喜饭店,622
1330,Xe Lửa Vietnamese Restaurant,1488
1331,Royal Seafood Restaurant,1252
1332,Cipriani Downtown,269
1333,Omen a Zen,1079
1334,Felix,446
1335,Monte's Trattoria,954
1336,Sanuria Restaurant,1282
1337,IL Mattone Restaurant,631
1338,West Side Coffee Shop,1479
1339,Pepolino,1135
1340,Petrarca Cucina E Vino,1139
1341,Lure Fishbar,860
1342,Sophie's Cuban Cuisine,1325
1343,Shun Wei,1306
1344,Hop Lee Restaurant,619
1345,Wo Hop Restaurant,1484
1346,W.c.j. Seafood Restaurant,1471
1347,El Oasis,387
1348,La Cabana Salvadorena,759
1349,Tacos El Paisa,1363
1350,El Nuevo Caridad,382
1351,King Garden,724
1352,Silver Palace,1308
1353,Sushi Yu II,1353
1354,Golden Star,540
1355,El Guanaco Restaurant Pupuseria,372
1356,Mambi Steak House Bar & Grill,873
1357,La Dinastia Restaurant,766
1358,27 de Febrero Restaurant,8
1359,El Malecon,376
1360,AquaMarina,73
1361,El Conde Steakhouse,364
1362,Las Palmas,804
1363,Tu Sabor Latino,1441
1364,El Bacan Restaurant,354
1365,King Steak,728
1366,Kimchee Korean Cuisine,719
1367,Anopoli,63
1368,Ichigo,635
1369,Etcetera Etcetera,432
1370,Mama Mia 44sw Italian Cuisine,872
1371,Kodama Sushi,737
1372,Becco,130
1373,Fragolino,473
1374,Orso,1088
1375,Ocha,1070
1376,Cara Mia,204
1377,Barbetta,125
1378,Asahi Japanese Cuisine,81
1379,Sombrero,1322
1380,Qi Bangkok,1197
1381,La Pequeña Colombia,786
1382,Phayul,1141
1383,Haru,591
1384,Killarney Rose,716
1385,Joe G Ristorante Italiano,684
1386,Yakitori Totto,1494
1387,Oceana,1069
1388,Margon,887
1389,Brasserie Ruhlmann,167
1390,Olive Garden,1075
1391,Benoit Bistro,136
1392,Estiatorio Milos,430
1393,Bengal Tiger,135
1394,Natureworks,981
1395,Tina's Cuban Cuisine,1415
1396,City Fifty Five,273
1397,Il Corso,641
1398,Buca di Beppo,177
1399,Lazzara's Pizza,812
1400,Armani/Ristorante 5th Avenue,76
1401,Luciano's,844
1402,Clement,276
1403,Astor Court,89
1404,The Polo Bar,1405
1405,Evergreen On 38,434
1406,Tina's Cuban Cuisine,1415
1407,Caesars,185
1408,Playwright Irish Pub,1163
1409,John Barry's,686
1410,Koi New York,738
1411,New Wonjo,1036
1412,Aureole,99
1413,Azuki Sushi,104
1414,Pongsri Thai,1175
1415,Serafina Broadway,1293
1416,Martinique Cafe,893
1417,The Kunjip,1399
1418,Han Bat,579
1419,Sistina,1317
1420,Jaiya New York,669
1421,Uva,1456
1422,Rin Thai Cuisine,1232
1423,Chinese Fast Wok,255
1424,Omai,1078
1425,Gradisca,550
1426,Crispo,289
1427,Almond,51
1428,Apollo,70
1429,Home's Kitchen,609
1430,Punch,1191
1431,Novità Cucina Creativa,1057
1432,Great Burrito,555
1433,Chandni,226
1434,Junoon,698
1435,Gene's,509
1436,Cuba,290
1437,Negril Village,982
1438,Galanga,500
1439,Blue Hill,150
1440,Volare,1469
1441,ACME,25
1442,BONDST,107
1443,Indochine,649
1444,Mercer Kitchen,911
1445,Hillstone,602
1446,Angelo Bellini,58
1447,The National Bar & Dining Rooms,1403
1448,Mint NY,940
1449,Fabio Cucina Italiana,441
1450,Avra Estiatorio,101
1451,Hatsuhana,592
1452,Blake & Todd,148
1453,Tian Fu Lou,1412
1454,Akdeniz,36
1455,Wu Liang Ye,1487
1456,Fresco by Scotto,482
1457,Cafe Centro,187
1458,Vapiano,1459
1459,Spice,1330
1460,Ippudo,652
1461,Bistro du Midi,146
1462,Japonica,671
1463,Shades of Green,1299
1464,The Smith,1410
1465,Arte,78
1466,Craft,288
1467,15 East,3
1468,San Soo Kap San,1276
1469,Kitchen On 8,735
1470,Miss Lily's 7A,943
1471,Lucien,845
1472,Bonjoo,159
1473,Mamoun's Falafel,874
1474,Pylos,1195
1475,Pangea,1109
1476,Sharaku,1302
1477,Congee Village 粥之家,282
1478,El Sombrero,400
1479,Penelope,1134
1480,Cipriani Le Specialita,270
1481,Grand Central Oyster Bar,553
1482,Good Lime Leaf Thai & Vietnamese Cuisine,546
1483,Barlovento Latin Bistro,126
1484,Da' Giulio,298
1485,Antique Garage,67
1486,Balthazar,116
1487,Emporio,426
1488,24 Prince,7
1489,Grotta Azzurra,562
1490,Fratellis Restaurant,478
1491,Marco Polo Chinese Restaurant,885
1492,Ecco,347
1493,Asia Roma,84
1494,Hop Kee,618
1495,Doyer's Vietnamese,323
1496,Joe's Ginger 锦江饭店,685
1497,Freemans,481
1498,Hua Du,623
1499,Taj Mahal,1366
1500,Nino's,1045
1501,Manhattan Pizza,881
1502,"Nino""s Pizzeria",1044
1503,Cozzi Pizza #1,285
1504,Cucina Italiana & Pizza,291
1505,Napoli Pizza & Pasta,977
1506,Casa Edesia Pizza and Grill,216
1507,Patricia's of Tremont,1122
1508,Harry's Italian Pizza Bar,590
1509,Pizzarte,1162
1510,Obicà Mozzarella Bar Pizza e Cucina,1068
1511,Gyro II & Spinellli's Pizza,571
1512,Ciro,272
1513,Obicà Mozzarella Bar Pizza e Cucina,1068
1514,Jumbo Pizza Coffee Shop,695
1515,Gia Lam,514
1516,Chief,236
1517,Fuciaana Asian Food & Crystal Grill,489
1518,Lucky Star Chinese Food,850
1519,No. 1 Chinese,1047
1520,Red Hook Lobster Pound,1216
1521,Seafood City,1288
1522,Golden Place Chinese Food,539
1523,Guadalajara de Dia II,566
1524,Tex-mexican & Chinese Food House,1391
1525,Kido Sushi,715
1526,Orchid Soul Food,1085
1527,Golden Chopstick Chinese Food,531
1528,My Most Favorite Food,967
1529,Royal Grill Halal Food,1251
1530,Food Passion,466
1531,#1 Garden Chinese Food,1
1532,Food U Desire,467
1533,Ruby,1253
1534,Usha Foods & Usha Sweets,1453
1535,New King Food Chinese,1016
1536,Energy Fuel,427
1537,OM Real Indian Food,1066
1538,Upholstery Store: Food and Wine,1452
1539,TUE Thai Food,1358
1540,Traditional Chinese Food Cart,1429
1541,Caliente Cab Co.,192
1542,Xi'an Famous Foods,1489
1543,Fine Food Cuisine,450
1544,Tenda Asian Fusion,1386
1545,Alba international food,41
1546,Boe Lee Chinese Fast Food,156
1547,Ding Dong,309
1548,Best Time Chinese & Tex-Mex Food,141
1549,East Ocean Chinese Fast Food,343
1550,Q&N Food,1196
1551,Pearl Garden,1125
1552,Chappie's Good Food,229
1553,Brothers Ravioli,175
1554,Lui's Thai Food,854
1555,Ichibantei,633
1556,Food U Desire,467
1557,Paladar Latino Food And Drinks,1096
1558,Mission Chinese Food,945
1559,Deggeh foods inc,303
1560,Great Wall No.1,557
1561,Gotham Fresh Foods,549
1562,Wah Fung Number 1 Fast Food 華豐快飯店,1473
1563,May Wah Pork Chop Fast Food,901
1564,Chefs Club by Food & Wine NY,233
1565,Ellie's Diner,414
1566,Tropical Coffee Shop,1435
1567,Cuenca Coffee Shop,293
1568,Golden Krust Caribbean Bakery & Grill,536
1569,Pilar Cuban Eatery,1155
1570,Rabbithole,1206
1571,Guyana Oriental Garden,570
